question_no,category_1,category_2,question_label,question_full,response_options,response_type,value_count,value_code_map,number_unit,other_input_expected,data_column_role,dashboard_value_type,formula
Q18,문화적 환경,근무 제도,오피스 외 장소에서 일하고 싶은 이유,"오피스가 아닌 다른 근무 장소*들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해주세요. *(원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등.",오피스가 아닌 다른 근무 장소들이 더 낫다고 느끼지 않음|출퇴근 소요 에너지 절약|내 업무 내용과 컨디션에 맞게 근무지 선택|나에게 맞춰 자유롭게 업무 환경 세팅|업무 시간 자유롭게 운용|자율적 업무 프로세스 진행|편안한 근무 복장|업무 방해 없이 온전히 몰입 근무|원격 협업 프로세스 진행|업무 종료 후 여가 생활|오피스가 아닌 비일상적 경험|기타 (직접 입력),객관식 순위,12,1=오피스가 아닌 다른 근무 장소들이 더 낫다고 느끼지 않음|2=출퇴근 소요 에너지 절약|3=내 업무 내용과 컨디션에 맞게 근무지 선택|4=나에게 맞춰 자유롭게 업무 환경 세팅|5=업무 시간 자유롭게 운용|6=자율적 업무 프로세스 진행|7=편안한 근무 복장|8=업무 방해 없이 온전히 몰입 근무|9=원격 협업 프로세스 진행|10=업무 종료 후 여가 생활|11=오피스가 아닌 비일상적 경험|12=기타 (직접 입력),,Y,raw,label,
Q18_R1,문화적 환경,근무 제도,오피스 외 장소에서 일하고 싶은 이유__1순위,"오피스가 아닌 다른 근무 장소*들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해주세요. *(원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등.",,객관식 순위,12,1=오피스가 아닌 다른 근무 장소들이 더 낫다고 느끼지 않음|2=출퇴근 소요 에너지 절약|3=내 업무 내용과 컨디션에 맞게 근무지 선택|4=나에게 맞춰 자유롭게 업무 환경 세팅|5=업무 시간 자유롭게 운용|6=자율적 업무 프로세스 진행|7=편안한 근무 복장|8=업무 방해 없이 온전히 몰입 근무|9=원격 협업 프로세스 진행|10=업무 종료 후 여가 생활|11=오피스가 아닌 비일상적 경험|12=기타 (직접 입력),,N,expanded,label,
Q18_R2,문화적 환경,근무 제도,오피스 외 장소에서 일하고 싶은 이유__2순위,"오피스가 아닌 다른 근무 장소*들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해주세요. *(원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등.",,객관식 순위,12,1=오피스가 아닌 다른 근무 장소들이 더 낫다고 느끼지 않음|2=출퇴근 소요 에너지 절약|3=내 업무 내용과 컨디션에 맞게 근무지 선택|4=나에게 맞춰 자유롭게 업무 환경 세팅|5=업무 시간 자유롭게 운용|6=자율적 업무 프로세스 진행|7=편안한 근무 복장|8=업무 방해 없이 온전히 몰입 근무|9=원격 협업 프로세스 진행|10=업무 종료 후 여가 생활|11=오피스가 아닌 비일상적 경험|12=기타 (직접 입력),,N,expanded,label,
Q18_R3,문화적 환경,근무 제도,오피스 외 장소에서 일하고 싶은 이유__3순위,"오피스가 아닌 다른 근무 장소*들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해주세요. *(원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등.",,객관식 순위,12,1=오피스가 아닌 다른 근무 장소들이 더 낫다고 느끼지 않음|2=출퇴근 소요 에너지 절약|3=내 업무 내용과 컨디션에 맞게 근무지 선택|4=나에게 맞춰 자유롭게 업무 환경 세팅|5=업무 시간 자유롭게 운용|6=자율적 업무 프로세스 진행|7=편안한 근무 복장|8=업무 방해 없이 온전히 몰입 근무|9=원격 협업 프로세스 진행|10=업무 종료 후 여가 생활|11=오피스가 아닌 비일상적 경험|12=기타 (직접 입력),,N,expanded,label,
Q18_TEXT,문화적 환경,근무 제도,오피스 외 장소에서 일하고 싶은 이유__기타_텍스트,"오피스가 아닌 다른 근무 장소*들에서 근무하고 싶은 이유를 순서대로 최대 3개 선택해주세요. *(원격 근무 시) 집, 카페, 거점 오피스, 워케이션 공간, 가상/메타버스 오피스 등.",,객관식 순위,,,,Y,expanded,text,
Q19,문화적 환경,일하는 방식,선호하는 근무 방식,다음 중 가장 선호하는 근무 방식을 선택해주세요.,모두 같은 장소/같은 시간에 업무|모두 같은 장소/각자 원하는 시간에 업무|각자 원하는 장소/모두 같은 시간에 업무|각자 원하는 장소/원하는 시간에 업무,객관식 단일,4,1=모두 같은 장소/같은 시간에 업무|2=모두 같은 장소/각자 원하는 시간에 업무|3=각자 원하는 장소/모두 같은 시간에 업무|4=각자 원하는 장소/원하는 시간에 업무,,N,raw,label,
Q20,문화적 환경,일하는 방식,선호하는 업무 분위기,귀하가 선호하는 업무 분위기는 어디에 가까운가요? -. 조직적이고 체계적인 분위기에서 일하는 것을 선호한다. -. 수평적이고 유연한 분위기에서 일하는 것을 선호한다,조직적/체계적 분위기||||수평적/유연한 분위기,객관식 척도,5,1=조직적/체계적 분위기|2=|3=|4=|5=수평적/유연한 분위기,,N,raw,score,
Q21,문화적 환경,일하는 방식,업무 특성 (독립/협업),귀하의 업무 특성은 어디에 가까운가요? - 독립: 내 일은 혼자 하는 업무가 많은 편이다. - 협업: 내 일은 다른 구성원들과의 소통과 협업이 많은 편이다.,독립 업무 중심||||협업 업무 중심,객관식 척도,5,1=독립 업무 중심|2=|3=|4=|5=협업 업무 중심,,N,raw,score,
Q22,문화적 환경,일하는 방식,업무 특성 (정형/창의),귀하의 업무 특성은 어디에 가까운가요? - 정형: 내 일은 상호 합의된 프로세스와 시스템 안에서 진행하는 것이 중요하다. - 창의: 내 일은 새로운 시도를 통한 창의적인 결과물 도출이 중요하다.,정형 업무 중심||||창의 업무 중심,객관식 척도,5,1=정형 업무 중심|2=|3=|4=|5=창의 업무 중심,,N,raw,score,
Q23,문화적 환경,일하는 방식,리더 유형(관계지향/성과지향),현재 귀하의 직속 리더는 어떤 유형에 가까운가요? - 관계지향형: 구성원간 사회적 관계가 업무에 주는 영향력을 중시하는 리더 - 성과지향형: 과업 목적 달성을 통한 성과 창출을 업무에서 가장 우선시하는 리더,관계 지향형 리더||||성과 지향형 리더,객관식 척도,5,1=관계 지향형 리더|2=|3=|4=|5=성과 지향형 리더,,N,raw,score,
Q24,문화적 환경,일하는 방식,리더 유형(관리형/위임형),현재 귀하의 직속 리더는 어떤 유형에 가까운가요? - 관리형: 실무진의 업무를 꼼꼼하게 관리하는 리더 - 위임형: 실무진에게 의사결정 과정을 위임하는 리더,관리형 리더||||위임형 리더,객관식 척도,5,1=관리형 리더|2=|3=|4=|5=위임형 리더,,N,raw,score,
Q25,문화적 환경,일하는 방식,회의 유형,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,팀/유관 부서와 정보를 공유하는 회의|새로운 아이디어를 발산하는 회의|문제 해결 또는 의사 결정을 위한 회의|업무 진행 상황/결과물을 보고하는 회의|기타 (직접 입력),객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,Y,raw,label,
Q25_R1,문화적 환경,일하는 방식,회의 유형__1순위,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,N,expanded,label,
Q25_R2,문화적 환경,일하는 방식,회의 유형__2순위,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,N,expanded,label,
Q25_R3,문화적 환경,일하는 방식,회의 유형__3순위,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,N,expanded,label,
Q25_R4,문화적 환경,일하는 방식,회의 유형__4순위,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,N,expanded,label,
Q25_R5,문화적 환경,일하는 방식,회의 유형__5순위,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,5,1=팀/유관 부서와 정보를 공유하는 회의|2=새로운 아이디어를 발산하는 회의|3=문제 해결 또는 의사 결정을 위한 회의|4=업무 진행 상황/결과물을 보고하는 회의|5=기타 (직접 입력),,N,expanded,label,
Q25_TEXT,문화적 환경,일하는 방식,회의 유형__기타_텍스트,보기로 주어진 회의 유형들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,,,,Y,expanded,text,
Q26,문화적 환경,일하는 방식,회의 진행 시간,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.,30분 이내|30분~1시간|1시간~2시간|2시간 이상,객관식 순위,4,1=30분 이내|2=30분~1시간|3=1시간~2시간|4=2시간 이상,,N,raw,label,
Q26_R1,문화적 환경,일하는 방식,회의 진행 시간__1순위,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=30분 이내|2=30분~1시간|3=1시간~2시간|4=2시간 이상,,N,expanded,label,
Q26_R2,문화적 환경,일하는 방식,회의 진행 시간__2순위,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=30분 이내|2=30분~1시간|3=1시간~2시간|4=2시간 이상,,N,expanded,label,
Q26_R3,문화적 환경,일하는 방식,회의 진행 시간__3순위,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=30분 이내|2=30분~1시간|3=1시간~2시간|4=2시간 이상,,N,expanded,label,
Q26_R4,문화적 환경,일하는 방식,회의 진행 시간__4순위,보기로 주어진 회의 진행 시간들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=30분 이내|2=30분~1시간|3=1시간~2시간|4=2시간 이상,,N,expanded,label,
Q27,문화적 환경,일하는 방식,회의 규모,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.,4인 이하|5~8인|9~16인|17인 이상,객관식 순위,4,1=4인 이하|2=5~8인|3=9~16인|4=17인 이상,,N,raw,label,
Q27_R1,문화적 환경,일하는 방식,회의 규모__1순위,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=4인 이하|2=5~8인|3=9~16인|4=17인 이상,,N,expanded,label,
Q27_R2,문화적 환경,일하는 방식,회의 규모__2순위,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=4인 이하|2=5~8인|3=9~16인|4=17인 이상,,N,expanded,label,
Q27_R3,문화적 환경,일하는 방식,회의 규모__3순위,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=4인 이하|2=5~8인|3=9~16인|4=17인 이상,,N,expanded,label,
Q27_R4,문화적 환경,일하는 방식,회의 규모__4순위,보기로 주어진 회의 규모들을 참석 빈도가 높은 순으로 나열해주세요.,,객관식 순위,4,1=4인 이하|2=5~8인|3=9~16인|4=17인 이상,,N,expanded,label,
Q28,문화적 환경,일하는 방식,개인 업무 좌석 외에 다른 곳에서 일할 수 있는 분위기인가,"귀하의 조직은 근무 시간 중 개인 업무 좌석을 벗어나 다른 오피스 공간을 사용할 수 있는 분위기/문화가 조성되어 있나요? (회의, 외근 등 계획된 일정으로 자리를 비우는 것 제외)",전혀 그렇지 못하다|그렇지 못하다|보통이다|그렇다|매우 그렇다,객관식 척도,5,1=전혀 그렇지 못하다|2=그렇지 못하다|3=보통이다|4=그렇다|5=매우 그렇다,,N,raw,score,
Q29,문화적 환경,일하는 방식,개인 업무 좌석 외에 일할 수 있는 공간이 있는가,"귀하의 오피스에는근무 시간 중 개인 업무 좌석 이외에 일할 수 있는 공간*이 별도로 마련되어 있나요? *집중업무좌석, 핫데스크, 워크라운지 등",전혀 그렇지 않다|그렇지 않은 편인다|잘 모르겠다|그런 편이다|매우 그렇다,객관식 척도,5,1=전혀 그렇지 않다|2=그렇지 않은 편인다|3=잘 모르겠다|4=그런 편이다|5=매우 그렇다,,N,raw,score,
Q30,문화적 환경,일하는 방식,개인 업무 좌석 외 별도 업무 공간 이용 횟수,"하루 평균 몇 회 개인 업무 좌석 이외의 별도로 일할 수 있는 공간*을 이용 하시나요? *집중업무좌석, 핫데스크, 워크라운지 등",,주관식 숫자,,,회,N,raw,number,
Q31,문화적 환경,일하는 방식,하루 평균 업무 몰입도,하루 평균 몇% 정도 몰입*해서 일한다고 느끼시나요? *업무 몰입은 업무 진행 결과 성과에 대한 충분한 만족과 성취감을 주는 모든 업무 방식를 의미합니다.,,주관식 숫자,,,%,N,raw,number,
Q32,문화적 환경,일하는 방식,업무 만족도,현재 본인의 업무에 대해 얼마나 만족하시나요?,매우 불만족함|불만족함|보통|만족함|매우 만족함,객관식 척도,5,1=매우 불만족함|2=불만족함|3=보통|4=만족함|5=매우 만족함,,N,raw,score,
Q33,문화적 환경,조직 문화,호칭 체계,현재 어떤 호칭 체계를 사용하고 있나요?,이름+직위 (과장 or 대리 등)|이름+별도 호칭 (프로 or 선생님 등)|이름+님|이름+씨|영어 이름|기타(직접 입력),객관식 단일,6,1=이름+직위 (과장 or 대리 등)|2=이름+별도 호칭 (프로 or 선생님 등)|3=이름+님|4=이름+씨|5=영어 이름|6=기타(직접 입력),,Y,raw,label,
Q33_TEXT,문화적 환경,조직 문화,호칭 체계__기타_텍스트,현재 어떤 호칭 체계를 사용하고 있나요?,,객관식 단일,,,,Y,expanded,text,
Q34,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름","조직 내 수직적 위계 완화|효율적인 업무 보고, 소통 가능|구성원 간 사회적 친밀감 상승|서로 존중하는 문화 형성|조직 소속감 또는 유대감 증진",객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,raw,label,
Q34_R1,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향__1순위,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름",,객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,expanded,label,
Q34_R2,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향__2순위,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름",,객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,expanded,label,
Q34_R3,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향__3순위,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름",,객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,expanded,label,
Q34_R4,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향__4순위,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름",,객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,expanded,label,
Q34_R5,문화적 환경,조직 문화,수평적 호칭 체계의 긍정적 영향__5순위,"수평적 호칭 체계*가 기업에 가져올 수 있는 긍정적 영향들을 효과적이라고 생각하는 순서대로 나열해주세요. *~님, ~프로, 영어 이름",,객관식 순위,5,"1=조직 내 수직적 위계 완화|2=효율적인 업무 보고, 소통 가능|3=구성원 간 사회적 친밀감 상승|4=서로 존중하는 문화 형성|5=조직 소속감 또는 유대감 증진",,N,expanded,label,
Q35,문화적 환경,조직 문화,회사가 조직문화 내재화를 위해 노력하고 있는가,귀하의 기업은 구성원들이 조직문화와 핵심가치를 인지하고 내재화 할 수 있게 노력하고 있나요?,전혀 그렇지 못하다|그렇지 못하다|보통이다|그렇다|매우 그렇다,객관식 척도,5,1=전혀 그렇지 못하다|2=그렇지 못하다|3=보통이다|4=그렇다|5=매우 그렇다,,N,raw,score,
Q36,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,"보기 중 해당 사항 없음|이메일, 메신저, 사내 게시판(온/오프라인) 활용|캠페인, 이벤트 (온/오프라인)|내부 교육, 워크샵 (온/오프라인)|조직 문화&가치관 문서화 자료 배포|관리자급 구성원 통한 전파|조직문화 인플루언서, 컬처 에이전트(CA) 운영|상징적 요소 활용 (로고, 슬로건)|물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)|기타 (직접 입력)",객관식 중복,10,"1=보기 중 해당 사항 없음|2=이메일, 메신저, 사내 게시판(온/오프라인) 활용|3=캠페인, 이벤트 (온/오프라인)|4=내부 교육, 워크샵 (온/오프라인)|5=조직 문화&가치관 문서화 자료 배포|6=관리자급 구성원 통한 전파|7=조직문화 인플루언서, 컬처 에이전트(CA) 운영|8=상징적 요소 활용 (로고, 슬로건)|9=물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)|10=기타 (직접 입력)",,Y,raw,label,
Q36_M1,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법__보기 중 해당 사항 없음,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M2,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__이메일, 메신저, 사내 게시판(온/오프라인) 활용",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M3,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__캠페인, 이벤트 (온/오프라인)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M4,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__내부 교육, 워크샵 (온/오프라인)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M5,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법__조직 문화&가치관 문서화 자료 배포,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M6,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법__관리자급 구성원 통한 전파,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M7,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__조직문화 인플루언서, 컬처 에이전트(CA) 운영",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M8,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__상징적 요소 활용 (로고, 슬로건)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M9,문화적 환경,조직 문화,"조직 문화 내재화를 위해 시행되고 있는 방법__물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M10,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법__기타 (직접 입력),구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q36_M10_TEXT,문화적 환경,조직 문화,조직 문화 내재화를 위해 시행되고 있는 방법__기타_텍스트,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 귀하의 기업이 적용하고 있는 항목을 모두 선택해주세요.,,객관식 중복,,,,Y,expanded,text,
Q37,문화적 환경,조직 문화,조직 문화 내재화에 효과적이라고 생각하는 방법,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,"이메일, 메신저, 사내 게시판(온/오프라인) 활용|캠페인, 이벤트 (온/오프라인)|내부 교육, 워크샵 (온/오프라인)|조직 문화&가치관 문서화 자료 배포|관리자급 구성원 통한 전파|조직문화 인플루언서, 컬처 에이전트(CA) 운영|상징적 요소 활용 (로고, 슬로건)|물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)|기타 (직접 입력)",객관식 중복,9,"1=이메일, 메신저, 사내 게시판(온/오프라인) 활용|2=캠페인, 이벤트 (온/오프라인)|3=내부 교육, 워크샵 (온/오프라인)|4=조직 문화&가치관 문서화 자료 배포|5=관리자급 구성원 통한 전파|6=조직문화 인플루언서, 컬처 에이전트(CA) 운영|7=상징적 요소 활용 (로고, 슬로건)|8=물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)|9=기타 (직접 입력)",,Y,raw,label,
Q37_M1,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__이메일, 메신저, 사내 게시판(온/오프라인) 활용",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M2,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__캠페인, 이벤트 (온/오프라인)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M3,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__내부 교육, 워크샵 (온/오프라인)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M4,문화적 환경,조직 문화,조직 문화 내재화에 효과적이라고 생각하는 방법__조직 문화&가치관 문서화 자료 배포,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M5,문화적 환경,조직 문화,조직 문화 내재화에 효과적이라고 생각하는 방법__관리자급 구성원 통한 전파,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M6,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__조직문화 인플루언서, 컬처 에이전트(CA) 운영",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M7,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__상징적 요소 활용 (로고, 슬로건)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M8,문화적 환경,조직 문화,"조직 문화 내재화에 효과적이라고 생각하는 방법__물리적 사무환경 (건물, 인테리어, 레이아웃, 집기 선정)",구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M9,문화적 환경,조직 문화,조직 문화 내재화에 효과적이라고 생각하는 방법__기타 (직접 입력),구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q37_M9_TEXT,문화적 환경,조직 문화,조직 문화 내재화에 효과적이라고 생각하는 방법__기타_텍스트,구성원들에게 조직문화와 핵심가치를 전달하는 방법들 중 가장 효과적이라고 생각하는 항목을 3개 선택해주세요.,,객관식 중복,,,,Y,expanded,text,
Q38,문화적 환경,조직 문화,자기 계발 지원 여부,귀하의 기업은 구성원 개인의 업무 능력 증진 또는 자기개발*을 위한 지원을 하고 있나요? *직무 관련 교육 수강 / 자격증 준비 지원 / 외국어 활용 능력 증진 교육 등,"그렇지 못하다|지원하고 있으나, 충분하지 못하다고 생각한다|충분히 지원하고 있다",객관식 단일,3,"1=그렇지 못하다|2=지원하고 있으나, 충분하지 못하다고 생각한다|3=충분히 지원하고 있다",,N,raw,label,
Q39,문화적 환경,조직 문화,심리적 안정감 중시 여부,귀하의 기업은 조직문화적으로 구성원들의 심리적 안정감*을 중요하게 생각하고 있나요? *심리적 안정감이란 직장에서 소통시 구성원간 상호 신뢰와 존중을 기반으로 비난의 걱정 없이 서로 의견을 주고 받을 수 있다는 공동의 믿음을 의미합니다.,전혀 그렇지 못하다|그렇지 못하다|보통이다|그렇다|매우 그렇다,객관식 척도,5,1=전혀 그렇지 못하다|2=그렇지 못하다|3=보통이다|4=그렇다|5=매우 그렇다,,N,raw,score,
